호선,역명,시간(분)
4,진접,0:00
4,오남,2:00
4,별가람,6:30
4,당고개,5:00
4,상계,2:30
4,노원,1:30
4,창동,1:30
4,쌍문,2:00
4,수유,2:00
4,미아,1:30
4,미아사거리,2:00
4,길음,2:00
4,성신여대입구,2:00
4,한성대입구,1:30
4,혜화,1:30
4,동대문,2:00
4,동대문역사문화공원,1:00
4,충무로,1:00
4,명동,1:00
4,회현,1:00
4,서울역,1:30
4,숙대입구,1:30
4,삼각지,1:30
4,신용산,1:00
4,이촌,2:00
4,동작,3:00
4,총신대입구,2:30
4,사당,1:30
4,남태령,2:00
4,선바위,2:30
4,경마공원,1:30
4,대공원,1:30
4,과천,1:30
4,정부과천청사,1:30
4,인덕원,3:00
4,평촌,2:00
4,범계,1:30
4,금정,3:00
4,산본,4:00
4,수리산,1:30
4,대야미,3:00
4,반월,2:00
4,상록수,3:00
4,한대앞,1:30
4,중앙,2:00
4,고잔,1:30
4,초지,2:00
4,안산,2:00
4,신길온천,2:30
4,정왕,2:30
4,오이도,2:30
