호선,역명,시간(분)
2,시청,0:00
2,을지로입구,1:30
2,을지로3가,1:00
2,을지로4가,1:00
2,동대문역사문화공원,1:30
2,신당,1:30
2,상왕십리,1:00
2,왕십리,1:00
2,한양대,1:30
2,뚝섬,1:30
2,성수,1:00
2,건대입구,1:30
2,구의,2:00
2,강변,1:00
2,잠실나루,2:00
2,잠실,1:30
2,잠실새내,1:30
2,종합운동장,1:30
2,삼성,1:30
2,선릉,1:30
2,역삼,1:30
2,강남,1:00
2,교대,1:30
2,서초,1:00
2,방배,2:00
2,사당,2:30
2,낙성대,2:00
2,서울대입구,1:30
2,봉천,1:00
2,신림,1:30
2,신대방,2:00
2,구로디지털단지,1:30
2,대림,1:30
2,신도림,2:30
2,문래,2:00
2,영등포구청,1:00
2,당산,1:30
2,합정,2:30
2,홍대입구,1:30
2,신촌,2:00
2,이대,1:00
2,아현,1:00
2,충정로,1:30
2,시청,1:30
2,용답,3:00
2,신답,1:30
2,용두,1:30
2,신설동,1:30
2,도림천,1:30
2,양천구청,2:30
2,신정네거리,3:00
2,까치산,2:30
