line,station_name,latitude,longitude
1호선,연천,37.5653,127.0339
1호선,전곡,38.02455,127.071365
1호선,청산,37.73873,127.045891
1호선,소요산,37.948056,127.060833
1호선,동두천,37.927569,127.054825
1호선,보산,,
1호선,동두천중앙,37.901818,127.056528
1호선,지행,37.892361,127.055734
1호선,덕정,37.843216,127.061511
1호선,덕계,37.818761,127.056676
1호선,양주,37.774281,127.044719
1호선,녹양,37.759416,127.042272
1호선,가능,37.748362,127.044251
1호선,의정부,37.73873,127.045891
1호선,회룡,37.724037,127.047319
1호선,망월사,37.710499,127.047361
1호선,도봉산,37.689603,127.046347
1호선,도봉,,
1호선,방학,37.66796,127.04456
1호선,창동,37.653181,127.047663
1호선,녹천,37.644599,127.051406
1호선,월계,37.633114,127.058835
1호선,광운대,,
1호선,석계,37.615206,127.065594
1호선,신이문,37.602745,127.067556
1호선,청량리(서울시립대입구),37.580148,127.045063
1호선,외대앞,37.596157,127.063572
1호선,제기동,37.578116,127.034902
1호선,회기,37.589802,127.057936
1호선,신설동,37.576117,127.02471
1호선,동묘앞,37.573265,127.016459
1호선,동대문,37.565145,127.00789
1호선,종로5가,37.570971,127.0019
1호선,종로3가,37.570429,126.992095
1호선,종각,37.570203,126.983116
1호선,시청,37.56359,126.975407
1호선,서울역,37.55315,126.972533
1호선,남영,37.540597,126.971171
1호선,용산,37.52989,126.964775
1호선,노량진,37.514072,126.941671
1호선,대방,37.513392,126.926407
1호선,신길,37.517018,126.917743
1호선,영등포,37.515756,126.907411
1호선,신도림,37.508983,126.891513
1호선,구로,37.502211,126.881818
1호선,가산디지털단지,37.481568,126.882628
1호선,구일,37.496273,126.869599
1호선,개봉,37.494698,126.858504
1호선,독산,37.465994,126.889508
1호선,금천구청,37.45576,126.894344
1호선,오류동,37.4944,126.844551
1호선,광명,37.415995,126.884523
1호선,석수,37.435161,126.902233
1호선,온수,37.492267,126.823399
1호선,관악,37.419578,126.908476
1호선,역곡,37.48514,126.811622
1호선,소사,37.482755,126.795654
1호선,안양,37.401929,126.922647
1호선,명학,37.384435,126.935579
1호선,부천,37.484066,126.782779
1호선,금정,37.371957,126.943611
1호선,중동,37.486664,126.764474
1호선,군포,37.353732,126.948517
1호선,송내,37.487626,126.753045
1호선,당정,37.34338,126.948388
1호선,부개,37.488479,126.740549
1호선,부평,37.489457,126.724584
1호선,의왕,37.320648,126.948099
1호선,백운,37.483301,126.707179
1호선,성균관대,37.300344,126.970861
1호선,화서,37.28399,126.989581
1호선,동암,37.470835,126.703016
1호선,간석,37.464689,126.693408
1호선,수원,37.266162,126.999821
1호선,세류,37.244102,127.013772
1호선,주안,37.465041,126.680702
1호선,도화,37.466154,126.66846
1호선,병점,37.206821,127.033268
1호선,서동탄,37.195675,127.051893
1호선,세마,37.187288,127.043279
1호선,제물포,37.466809,126.657165
1호선,도원,37.468604,126.642824
1호선,오산대,37.169401,127.063081
1호선,동인천,37.475414,126.632598
1호선,오산,37.145472,127.066708
1호선,인천,37.476364,126.616936
1호선,진위,37.109771,127.062342
1호선,송탄,37.075376,127.054397
1호선,서정리,37.056459,127.052844
1호선,평택지제,37.018822,127.070269
1호선,평택,36.990559,127.085496
1호선,성환,36.915781,127.127007
1호선,직산,36.870921,127.143774
1호선,두정,36.833791,127.148905
1호선,천안,36.810238,127.146417
1호선,봉명,36.801578,127.136319
1호선,쌍용(나사렛대),36.793745,127.121363
1호선,아산,36.792195,127.105049
1호선,탕정,36.788272,127.080446
1호선,배방,36.777541,127.052751
1호선,온양온천,36.780419,127.003707
1호선,신창(순천향대),36.769213,126.950129
